To_be_vote,first_priority,second_priority,third_priority,capable_to_handing_protest,Others_as_candidate,president_in_perspective,expectation,Executive_system,promisses_followed,born_year,district,ethnic_group,gender
Yes,Sajith Premadasa,No one,No One,Sajith Premadasa,Vigneswaran,Sajith Premadasa,Equality,Need an executive president,No,1993,Jaffna,Tamils,Male
Yes,Sajith Premadasa,Anura Kumara Dissanayake,No One,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1993,Jaffna,Tamils,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,Anura Kumara Dissanayake,Sajith Premadasa,Kumar Sangakkara ,Sajith Premadasa,Economic strength ,Need an executive president,No,1989,Jaffna,Tamils,Male
Yes,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,No one ,Sajith Premadasa,Development country ,Need an executive president,No,1965,Trincomalee,Tamils,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,M.L.A.M. Hisbullah,Sajith Premadasa,No,Sajith Premadasa,,Need an executive president,No,1993,Jaffna,Tamils,Female
Yes,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,,Sajith Premadasa,,Need an executive president,No,1968,Trincomalee,Tamils,Female
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,No,Gotabhaya Rajapakse,Develop infrastructure and Technology,Need an executive president,Yes,1993,Galle,Sinhalese,Male
Yes,Mahesh Senanayake,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Gotabhaya Rajapakse,no,Mahesh Senanayake,Better future,Need an executive president,No,1996,Galle,Sinhalese,Male
Yes,Sajith Premadasa,M.L.A.M. Hisbullah,M.L.A.M. Hisbullah,Sajith Premadasa,No,Sajith Premadasa,Developed country,Need an executive president,No,1958,Jaffna,Tamils,Male
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,Gotabhaya Rajapakse,no one,Gotabhaya Rajapakse,Developed country,Need an executive president,No,1995,Hambantota,Sinhalese,Female
